crypto,date,close,log_return,open,high,low,volume,target_7d,vol_30,sma,ema,momentum,cci,regime_label
BNBUSDT,2020-08-11,21.2902,-0.06133444522174436,22.6369,22.7306,20.66,3211543.44,0.07596391104396139,0.028292924181129855,21.792542857142855,21.641211782072112,1.1169999999999973,-8.264979058502906,0
BNBUSDT,2020-08-12,21.4919,0.009429247018657438,21.2993,21.982,20.571,2455644.02,0.040317305002030235,0.028304065593976194,21.906321428571427,21.6213035444625,1.5929000000000002,-36.49433516164802,0
BNBUSDT,2020-08-13,21.7667,0.01270515904502112,21.4919,21.856,20.64,3079217.71,0.05896637245919534,0.02799525269873113,22.03465714285714,21.640689738534167,1.7967000000000013,-46.818080046846276,0
BNBUSDT,2020-08-14,23.1047,0.05965478102870936,21.7751,23.3019,21.26,3820214.92,-0.044512751628432046,0.028997613290360734,22.20917142857143,21.835891106729612,2.443200000000001,62.04423317301906,0
BNBUSDT,2020-08-15,23.0881,-0.0007187267589139346,23.0966,23.7884,22.7,2752160.06,-0.03902686583870274,0.028258342872452494,22.314264285714284,22.002852292498996,1.4712999999999994,118.56510107908424,0
BNBUSDT,2020-08-16,23.529,0.018916369622172358,23.1045,23.779,22.7,2705823.75,-0.07378109678511935,0.02814799986353573,22.49563571428572,22.20633865349913,2.539200000000001,126.3127710205555,0
BNBUSDT,2020-08-17,23.4961,-0.0013992529677948617,23.5291,23.91,22.9584,2423484.1,-0.03909252988200995,0.028215889289579115,22.598899999999997,22.378306833032582,1.4456999999999987,125.36327910408933,0
BNBUSDT,2020-08-18,22.9705,-0.022623665943890092,23.4868,23.78,22.333,2531759.28,-0.0713714159062242,0.02786389256123769,22.64809285714286,22.45726592196157,0.6887000000000008,62.73871764386251,0
BNBUSDT,2020-08-19,22.3761,-0.026217359023273712,22.9802,23.25,21.8219,2128074.03,-0.007905640600096131,0.027642519358438675,22.584042857142858,22.446443799033364,-0.8966999999999992,-2.4242482231158857,0
BNBUSDT,2020-08-20,23.0888,0.03135422650218622,22.3817,23.3,22.0265,2246864.02,0.0010345985360591392,0.02793964679754333,22.608335714285715,22.532091292495583,0.3400999999999996,41.53516781261381,0
BNBUSDT,2020-08-21,22.0988,-0.043824343058918025,23.0909,23.32,21.5,2493196.51,0.04349079240919229,0.0294442453605559,22.59165714285714,22.47431912016284,-0.23349999999999937,-26.368950622073182,0
BNBUSDT,2020-08-22,22.2044,0.004767159030815371,22.0994,22.2464,21.2814,1892077.61,0.032582925829640175,0.02892496801123375,22.5403,22.438329904141128,-0.7190000000000012,-68.06961504236327,0
BNBUSDT,2020-08-23,21.8555,-0.01583786132424425,22.201,22.2348,21.2841,1618992.6,0.07767507368416693,0.028991189045937577,22.499835714285716,22.360619250255645,-0.5665000000000013,-69.9737066424159,0
BNBUSDT,2020-08-24,22.5953,0.033289313935314535,21.8575,22.9746,21.6655,1877744.04,0.024153503495830897,0.029009266796130424,22.496864285714285,22.391910016888225,-0.04159999999999897,1.3233620270088609,0
BNBUSDT,2020-08-25,21.3882,-0.05490255196810434,22.6016,22.6415,20.9805,2271280.88,0.1440772294522925,0.030814296214375567,22.503864285714286,22.25808201463646,0.09800000000000253,-86.08499978973391,0
BNBUSDT,2020-08-26,22.1999,0.03724841628285436,21.3881,22.4743,21.2651,2500162.91,0.1093516575575948,0.0314253441922956,22.554435714285717,22.250324412684932,0.7079999999999984,-60.014305503997925,0
BNBUSDT,2020-08-27,23.1127,0.04029446563834149,22.2005,23.1507,21.8064,2927744.89,-0.12684935182242807,0.03197390639208868,22.650578571428575,22.36530782432694,1.346,20.94551339502914,0
BNBUSDT,2020-08-28,23.0811,-0.0013681491857848727,23.1127,23.5846,22.6158,2545445.75,-0.0958640329329965,0.031810544533392944,22.648892857142858,22.460746781083348,-0.02360000000000184,67.74767274653749,0
BNBUSDT,2020-08-29,22.9398,-0.006140707548736746,23.0783,23.5,22.7416,1854485.72,-0.16400884614971734,0.03187434895514703,22.638299999999997,22.524620543605568,-0.148299999999999,65.80415861278935,0
BNBUSDT,2020-08-30,23.6208,0.029254286530282503,22.9441,23.83,22.9,1908490.67,-0.02047853134354094,0.03173367456803195,22.64485714285714,22.670777804458158,0.09179999999999922,115.40602698152993,0
BNBUSDT,2020-08-31,23.1477,-0.020232256253021497,23.625,23.9,22.967,1767387.78,-0.030934485074316065,0.031079073917794013,22.619971428571432,22.734367430530405,-0.34839999999999804,103.35106186340842,0
BNBUSDT,2020-09-01,24.7028,0.06502117398835727,23.1481,25.41,22.84,4442974.1,-0.05916305259066412,0.03250701393282122,22.743707142857144,22.996825106459685,1.7322999999999986,188.0542912873858,0
BNBUSDT,2020-09-02,24.7652,0.002522844388156642,24.7101,25.8262,23.1215,5879568.29,-0.011926180417014098,0.031434595971773734,22.914357142857142,23.232608425598393,2.389099999999999,165.73192980024444,0
BNBUSDT,2020-09-03,20.3592,-0.19590654374168137,24.7653,25.54,19.8765,7231336.21,0.18713414853987853,0.04810341628848503,22.719385714285718,22.849487302185274,-2.729599999999998,-72.39450014459187,0
